X,Y,Nx,Ny,Nz
0,0,127,127,255
1,0,127,127,255
2,0,127,127,255
3,0,127,127,255
4,0,127,127,255
5,0,127,127,255
6,0,127,127,255
7,0,127,127,255
8,0,127,127,255
9,0,127,127,255
10,0,127,127,255
11,0,127,127,255
12,0,127,127,255
13,0,127,127,255
14,0,127,127,255
15,0,127,127,255
16,0,127,127,255
17,0,127,127,255
18,0,127,127,255
19,0,127,127,255
20,0,127,127,255
21,0,127,127,255
22,0,127,127,255
23,0,127,127,255
24,0,127,127,255
25,0,127,127,255
26,0,127,127,255
27,0,127,127,255
28,0,127,127,255
29,0,127,127,255
30,0,127,127,255
31,0,127,127,255
32,0,127,127,255
33,0,127,127,255
34,0,127,127,255
35,0,127,127,255
36,0,127,127,255
37,0,127,127,255
38,0,127,127,255
39,0,127,127,255
40,0,127,127,255
41,0,127,127,255
42,0,127,127,255
43,0,127,127,255
44,0,127,127,255
45,0,127,127,255
46,0,127,127,255
47,0,127,127,255
48,0,127,127,255
49,0,127,127,255
50,0,127,127,255
51,0,127,127,255
52,0,127,127,255
53,0,127,127,255
54,0,127,127,255
55,0,127,127,255
56,0,127,127,255
57,0,127,127,255
58,0,127,127,255
59,0,127,127,255
60,0,127,127,255
61,0,127,127,255
62,0,127,127,255
63,0,127,127,255
64,0,127,127,255
65,0,127,127,255
66,0,127,127,255
67,0,127,127,255
68,0,127,127,255
69,0,127,127,255
70,0,127,127,255
71,0,127,127,255
72,0,127,127,255
73,0,127,127,255
74,0,127,127,255
75,0,127,127,255
76,0,127,127,255
77,0,127,127,255
78,0,127,127,255
79,0,127,127,255
80,0,127,127,255
81,0,127,127,255
82,0,127,127,255
83,0,127,127,255
84,0,127,127,255
85,0,127,127,255
86,0,127,127,255
87,0,127,127,255
88,0,127,127,255
89,0,127,127,255
90,0,127,127,255
91,0,127,127,255
92,0,127,127,255
93,0,127,127,255
94,0,127,127,255
95,0,127,127,255
96,0,127,127,255
97,0,127,127,255
98,0,127,127,255
99,0,127,127,255
100,0,127,127,255
101,0,127,127,255
102,0,127,127,255
103,0,127,127,255
104,0,127,127,255
105,0,127,127,255
106,0,127,127,255
107,0,127,127,255
108,0,127,127,255
109,0,127,127,255
110,0,127,127,255
111,0,127,127,255
112,0,127,127,255
113,0,127,127,255
114,0,127,127,255
115,0,127,127,255
116,0,127,127,255
117,0,127,127,255
118,0,127,127,255
119,0,127,127,255
0,1,127,127,255
1,1,127,127,255
2,1,127,127,255
3,1,127,127,255
4,1,127,127,255
5,1,127,127,255
6,1,127,127,255
7,1,127,127,255
8,1,127,127,255
9,1,127,127,255
10,1,127,127,255
11,1,127,127,255
12,1,127,127,255
13,1,127,127,255
14,1,127,127,255
15,1,127,127,255
16,1,127,127,255
17,1,127,127,255
18,1,127,127,255
19,1,127,127,255
20,1,127,127,255
21,1,127,127,255
22,1,127,127,255
23,1,127,127,255
24,1,127,127,255
25,1,127,127,255
26,1,127,127,255
27,1,127,127,255
28,1,127,127,255
29,1,127,127,255
30,1,127,127,255
31,1,127,127,255
32,1,127,127,255
33,1,127,127,255
34,1,127,127,255
35,1,127,127,255
36,1,127,127,255
37,1,127,127,255
38,1,127,127,255
39,1,127,127,255
40,1,127,127,255
41,1,127,127,255
42,1,127,127,255
43,1,127,127,255
44,1,127,127,255
45,1,127,127,255
46,1,127,127,255
47,1,127,127,255
48,1,127,127,255
49,1,127,127,255
50,1,127,127,255
51,1,127,127,255
52,1,127,127,255
53,1,127,127,255
54,1,127,127,255
55,1,127,127,255
56,1,103,228,201
57,1,107,228,202
58,1,110,228,203
59,1,113,228,204
60,1,116,228,204
61,1,119,228,205
62,1,122,228,205
63,1,125,228,205
64,1,129,228,205
65,1,132,228,205
66,1,135,228,205
67,1,138,228,204
68,1,141,228,204
69,1,144,228,203
70,1,147,228,202
71,1,151,228,201
72,1,127,127,255
73,1,127,127,255
74,1,127,127,255
75,1,127,127,255
76,1,127,127,255
77,1,127,127,255
78,1,127,127,255
79,1,127,127,255
80,1,127,127,255
81,1,127,127,255
82,1,127,127,255
83,1,127,127,255
84,1,127,127,255
85,1,127,127,255
86,1,127,127,255
87,1,127,127,255
88,1,127,127,255
89,1,127,127,255
90,1,127,127,255
91,1,127,127,255
92,1,127,127,255
93,1,127,127,255
94,1,127,127,255
95,1,127,127,255
96,1,127,127,255
97,1,127,127,255
98,1,127,127,255
99,1,127,127,255
100,1,127,127,255
101,1,127,127,255
102,1,127,127,255
103,1,127,127,255
104,1,127,127,255
105,1,127,127,255
106,1,127,127,255
107,1,127,127,255
108,1,127,127,255
109,1,127,127,255
110,1,127,127,255
111,1,127,127,255
112,1,127,127,255
113,1,127,127,255
114,1,127,127,255
115,1,127,127,255
116,1,127,127,255
117,1,127,127,255
118,1,127,127,255
119,1,127,127,255
0,2,127,127,255
1,2,127,127,255
2,2,127,127,255
3,2,127,127,255
4,2,127,127,255
5,2,127,127,255
6,2,127,127,255
7,2,127,127,255
8,2,127,127,255
9,2,127,127,255
10,2,127,127,255
11,2,127,127,255
12,2,127,127,255
13,2,127,127,255
14,2,127,127,255
15,2,127,127,255
16,2,127,127,255
17,2,127,127,255
18,2,127,127,255
19,2,127,127,255
20,2,127,127,255
21,2,127,127,255
22,2,127,127,255
23,2,127,127,255
24,2,127,127,255
25,2,127,127,255
26,2,127,127,255
27,2,127,127,255
28,2,127,127,255
29,2,127,127,255
30,2,127,127,255
31,2,127,127,255
32,2,127,127,255
33,2,127,127,255
34,2,127,127,255
35,2,127,127,255
36,2,127,127,255
37,2,127,127,255
38,2,127,127,255
39,2,127,127,255
40,2,127,127,255
41,2,127,127,255
42,2,127,127,255
43,2,127,127,255
44,2,127,127,255
45,2,127,127,255
46,2,127,127,255
47,2,127,127,255
48,2,127,127,255
49,2,127,127,255
50,2,127,127,255
51,2,127,127,255
52,2,127,127,255
53,2,94,225,202
54,2,97,225,203
55,2,100,225,205
56,2,103,225,206
57,2,107,225,206
58,2,110,225,207
59,2,113,225,208
60,2,116,225,208
61,2,119,225,209
62,2,122,225,209
63,2,125,225,209
64,2,129,225,209
65,2,132,225,209
66,2,135,225,209
67,2,138,225,208
68,2,141,225,208
69,2,144,225,207
70,2,147,225,206
71,2,151,225,206
72,2,154,225,205
73,2,157,225,203
74,2,160,225,202
75,2,127,127,255
76,2,127,127,255
77,2,127,127,255
78,2,127,127,255
79,2,127,127,255
80,2,127,127,255
81,2,127,127,255
82,2,127,127,255
83,2,127,127,255
84,2,127,127,255
85,2,127,127,255
86,2,127,127,255
87,2,127,127,255
88,2,127,127,255
89,2,127,127,255
90,2,127,127,255
91,2,127,127,255
92,2,127,127,255
93,2,127,127,255
94,2,127,127,255
95,2,127,127,255
96,2,127,127,255
97,2,127,127,255
98,2,127,127,255
99,2,127,127,255
100,2,127,127,255
101,2,127,127,255
102,2,127,127,255
103,2,127,127,255
104,2,127,127,255
105,2,127,127,255
106,2,127,127,255
107,2,127,127,255
108,2,127,127,255
109,2,127,127,255
110,2,127,127,255
111,2,127,127,255
112,2,127,127,255
113,2,127,127,255
114,2,127,127,255
115,2,127,127,255
116,2,127,127,255
117,2,127,127,255
118,2,127,127,255
119,2,127,127,255
0,3,127,127,255
1,3,127,127,255
2,3,127,127,255
3,3,127,127,255
4,3,127,127,255
5,3,127,127,255
6,3,127,127,255
7,3,127,127,255
8,3,127,127,255
9,3,127,127,255
10,3,127,127,255
11,3,127,127,255
12,3,127,127,255
13,3,127,127,255
14,3,127,127,255
15,3,127,127,255
16,3,127,127,255
17,3,127,127,255
18,3,127,127,255
19,3,127,127,255
20,3,127,127,255
21,3,127,127,255
22,3,127,127,255
23,3,127,127,255
24,3,127,127,255
25,3,127,127,255
26,3,127,127,255
27,3,127,127,255
28,3,127,127,255
29,3,127,127,255
30,3,127,127,255
31,3,127,127,255
32,3,127,127,255
33,3,127,127,255
34,3,127,127,255
35,3,127,127,255
36,3,127,127,255
37,3,127,127,255
38,3,127,127,255
39,3,127,127,255
40,3,127,127,255
41,3,127,127,255
42,3,127,127,255
43,3,127,127,255
44,3,127,127,255
45,3,127,127,255
46,3,127,127,255
47,3,127,127,255
48,3,127,127,255
49,3,127,127,255
50,3,85,221,201
51,3,88,221,203
52,3,91,221,205
53,3,94,221,206
54,3,97,221,207
55,3,100,221,208
56,3,103,221,209
57,3,107,221,210
58,3,110,221,211
59,3,113,221,211
60,3,116,221,212
61,3,119,221,212
62,3,122,221,213
63,3,125,221,213
64,3,129,221,213
65,3,132,221,213
66,3,135,221,212
67,3,138,221,212
68,3,141,221,211
69,3,144,221,211
70,3,147,221,210
71,3,151,221,209
72,3,154,221,208
73,3,157,221,207
74,3,160,221,206
75,3,163,221,205
76,3,166,221,203
77,3,170,221,201
78,3,127,127,255
79,3,127,127,255
80,3,127,127,255
81,3,127,127,255
82,3,127,127,255
83,3,127,127,255
84,3,127,127,255
85,3,127,127,255
86,3,127,127,255
87,3,127,127,255
88,3,127,127,255
89,3,127,127,255
90,3,127,127,255
91,3,127,127,255
92,3,127,127,255
93,3,127,127,255
94,3,127,127,255
95,3,127,127,255
96,3,127,127,255
97,3,127,127,255
98,3,127,127,255
99,3,127,127,255
100,3,127,127,255
101,3,127,127,255
102,3,127,127,255
103,3,127,127,255
104,3,127,127,255
105,3,127,127,255
106,3,127,127,255
107,3,127,127,255
108,3,127,127,255
109,3,127,127,255
110,3,127,127,255
111,3,127,127,255
112,3,127,127,255
113,3,127,127,255
114,3,127,127,255
115,3,127,127,255
116,3,127,127,255
117,3,127,127,255
118,3,127,127,255
119,3,127,127,255
0,4,127,127,255
1,4,127,127,255
2,4,127,127,255
3,4,127,127,255
4,4,127,127,255
5,4,127,127,255
6,4,127,127,255
7,4,127,127,255
8,4,127,127,255
9,4,127,127,255
10,4,127,127,255
11,4,127,127,255
12,4,127,127,255
13,4,127,127,255
14,4,127,127,255
15,4,127,127,255
16,4,127,127,255
17,4,127,127,255
18,4,127,127,255
19,4,127,127,255
20,4,127,127,255
21,4,127,127,255
22,4,127,127,255
23,4,127,127,255
24,4,127,127,255
25,4,127,127,255
26,4,127,127,255
27,4,127,127,255
28,4,127,127,255
29,4,127,127,255
30,4,127,127,255
31,4,127,127,255
32,4,127,127,255
33,4,127,127,255
34,4,127,127,255
35,4,127,127,255
36,4,127,127,255
37,4,127,127,255
38,4,127,127,255
39,4,127,127,255
40,4,127,127,255
41,4,127,127,255
42,4,127,127,255
43,4,127,127,255
44,4,127,127,255
45,4,127,127,255
46,4,127,127,255
47,4,127,127,255
48,4,78,218,201
49,4,81,218,203
50,4,84,218,205
51,4,88,218,207
52,4,91,218,208
53,4,94,218,210
54,4,97,218,211
55,4,100,218,212
56,4,103,218,213
57,4,107,218,214
58,4,110,218,214
59,4,113,218,215
60,4,116,218,215
61,4,119,218,216
62,4,122,218,216
63,4,125,218,216
64,4,129,218,216
65,4,132,218,216
66,4,135,218,216
67,4,138,218,215
68,4,141,218,215
69,4,144,218,214
70,4,147,218,214
71,4,151,218,213
72,4,154,218,212
73,4,157,218,211
74,4,160,218,210
75,4,163,218,208
76,4,166,218,207
77,4,170,218,205
78,4,173,218,203
79,4,176,218,201
80,4,127,127,255
81,4,127,127,255
82,4,127,127,255
83,4,127,127,255
84,4,127,127,255
85,4,127,127,255
86,4,127,127,255
87,4,127,127,255
88,4,127,127,255
89,4,127,127,255
90,4,127,127,255
91,4,127,127,255
92,4,127,127,255
93,4,127,127,255
94,4,127,127,255
95,4,127,127,255
96,4,127,127,255
97,4,127,127,255
98,4,127,127,255
99,4,127,127,255
100,4,127,127,255
101,4,127,127,255
102,4,127,127,255
103,4,127,127,255
104,4,127,127,255
105,4,127,127,255
106,4,127,127,255
107,4,127,127,255
108,4,127,127,255
109,4,127,127,255
110,4,127,127,255
111,4,127,127,255
112,4,127,127,255
113,4,127,127,255
114,4,127,127,255
115,4,127,127,255
116,4,127,127,255
117,4,127,127,255
118,4,127,127,255
119,4,127,127,255
0,5,127,127,255
1,5,127,127,255
2,5,127,127,255
3,5,127,127,255
4,5,127,127,255
5,5,127,127,255
6,5,127,127,255
7,5,127,127,255
8,5,127,127,255
9,5,127,127,255
10,5,127,127,255
11,5,127,127,255
12,5,127,127,255
13,5,127,127,255
14,5,127,127,255
15,5,127,127,255
16,5,127,127,255
17,5,127,127,255
18,5,127,127,255
19,5,127,127,255
20,5,127,127,255
21,5,127,127,255
22,5,127,127,255
23,5,127,127,255
24,5,127,127,255
25,5,127,127,255
26,5,127,127,255
27,5,127,127,255
28,5,127,127,255
29,5,127,127,255
30,5,127,127,255
31,5,127,127,255
32,5,127,127,255
33,5,127,127,255
34,5,127,127,255
35,5,127,127,255
36,5,127,127,255
37,5,127,127,255
38,5,127,127,255
39,5,127,127,255
40,5,127,127,255
41,5,127,127,255
42,5,127,127,255
43,5,127,127,255
44,5,127,127,255
45,5,127,127,255
46,5,127,127,255
47,5,75,215,203
48,5,78,215,205
49,5,81,215,207
50,5,85,215,209
51,5,88,215,210
52,5,91,215,212
53,5,94,215,213
54,5,97,215,214
55,5,100,215,215
56,5,103,215,216
57,5,107,215,217
58,5,110,215,217
59,5,113,215,218
60,5,116,215,218
61,5,119,215,219
62,5,122,215,219
63,5,125,215,219
64,5,129,215,219
65,5,132,215,219
66,5,135,215,219
67,5,138,215,218
68,5,141,215,218
69,5,144,215,217
70,5,147,215,217
71,5,151,215,216
72,5,154,215,215
73,5,157,215,214
74,5,160,215,213
75,5,163,215,212
76,5,166,215,210
77,5,170,215,209
78,5,173,215,207
79,5,176,215,205
80,5,179,215,203
81,5,127,127,255
82,5,127,127,255
83,5,127,127,255
84,5,127,127,255
85,5,127,127,255
86,5,127,127,255
87,5,127,127,255
88,5,127,127,255
89,5,127,127,255
90,5,127,127,255
91,5,127,127,255
92,5,127,127,255
93,5,127,127,255
94,5,127,127,255
95,5,127,127,255
96,5,127,127,255
97,5,127,127,255
98,5,127,127,255
99,5,127,127,255
100,5,127,127,255
101,5,127,127,255
102,5,127,127,255
103,5,127,127,255
104,5,127,127,255
105,5,127,127,255
106,5,127,127,255
107,5,127,127,255
108,5,127,127,255
109,5,127,127,255
110,5,127,127,255
111,5,127,127,255
112,5,127,127,255
113,5,127,127,255
114,5,127,127,255
115,5,127,127,255
116,5,127,127,255
117,5,127,127,255
118,5,127,127,255
119,5,127,127,255
0,6,127,127,255
1,6,127,127,255
2,6,127,127,255
3,6,127,127,255
4,6,127,127,255
5,6,127,127,255
6,6,127,127,255
7,6,127,127,255
8,6,127,127,255
9,6,127,127,255
10,6,127,127,255
11,6,127,127,255
12,6,127,127,255
13,6,127,127,255
14,6,127,127,255
15,6,127,127,255
16,6,127,127,255
17,6,127,127,255
18,6,127,127,255
19,6,127,127,255
20,6,127,127,255
21,6,127,127,255
22,6,127,127,255
23,6,127,127,255
24,6,127,127,255
25,6,127,127,255
26,6,127,127,255
27,6,127,127,255
28,6,127,127,255
29,6,127,127,255
30,6,127,127,255
31,6,127,127,255
32,6,127,127,255
33,6,127,127,255
34,6,127,127,255
35,6,127,127,255
36,6,127,127,255
37,6,127,127,255
38,6,127,127,255
39,6,127,127,255
40,6,127,127,255
41,6,127,127,255
42,6,127,127,255
43,6,127,127,255
44,6,127,127,255
45,6,69,212,202
46,6,72,212,204
47,6,75,212,207
48,6,78,212,209
49,6,81,212,210
50,6,85,212,212
51,6,88,212,214
52,6,91,212,215
53,6,94,212,216
54,6,97,212,217
55,6,100,212,218
56,6,103,212,219
57,6,107,212,220
58,6,110,212,220
59,6,113,212,221
60,6,116,212,221
61,6,119,212,222
62,6,122,212,222
63,6,125,212,222
64,6,129,212,222
65,6,132,212,222
66,6,135,212,222
67,6,138,212,221
68,6,141,212,221
69,6,144,212,220
70,6,147,212,220
71,6,151,212,219
72,6,154,212,218
73,6,157,212,217
74,6,160,212,216
75,6,163,212,215
76,6,166,212,214
77,6,170,212,212
78,6,173,212,210
79,6,176,212,209
80,6,179,212,207
81,6,182,212,204
82,6,185,212,202
83,6,127,127,255
84,6,127,127,255
85,6,127,127,255
86,6,127,127,255
87,6,127,127,255
88,6,127,127,255
89,6,127,127,255
90,6,127,127,255
91,6,127,127,255
92,6,127,127,255
93,6,127,127,255
94,6,127,127,255
95,6,127,127,255
96,6,127,127,255
97,6,127,127,255
98,6,127,127,255
99,6,127,127,255
100,6,127,127,255
101,6,127,127,255
102,6,127,127,255
